1,2,5
2,3,3
3,4,8
4,5,2
5,6,6
6,7,9
7,8,1
8,9,4
9,10,7
10,11,3
11,12,5
12,13,2
13,14,8
14,15,6
15,16,4
16,17,9
17,18,1
18,19,3
19,20,7
20,21,5
21,22,2
22,23,6
23,24,8
24,25,4
25,26,9
26,27,1
27,28,3
28,29,7
29,30,5
30,31,2
31,32,6
32,33,8
33,34,4
34,35,9
35,36,1
36,37,3
37,38,7
38,39,5
39,40,2
40,1,6
1,5,3
5,10,4
10,15,2
15,20,7
20,25,5
25,30,3
30,35,8
35,40,6
2,12,9
12,22,1
22,32,4
3,13,7
13,23,5
23,33,2
4,14,8
14,24,6
24,34,3
6,16,9
16,26,1
26,36,4
7,17,7
17,27,5
27,37,2
8,18,8
18,28,6
28,38,3
9,19,9
19,29,1
29,39,4
1,20,5
20,39,7
5,25,8
10,30,2
15,35,6
